,name,long,lat,df_name,cat1,cat2,cat1_name,cat2_name
181,,9.19352188704,45.4642082388,distr,Non Alimentare|Alimentare,,settore_merceologico,
182,carretti hi-tech,9.16580439719,45.4871576439,distr,non alimentare,,settore_merceologico,
183,schiffini,,,distr,non alimentare,,settore_merceologico,
184,,9.16107424234,45.4665509033,distr,Non Alimentare,,settore_merceologico,
185,,9.19734753190108,45.463698154223,distr,non alimentare,,settore_merceologico,
186,,9.13743443106,45.4713032907,distr,alimentare|non alimentare,,settore_merceologico,
187,,9.13743443106,45.4713032907,distr,alimentare|non alimentare,,settore_merceologico,
188,,9.19812159389,45.4653138775,distr,non alimentare,,settore_merceologico,
189,,9.13743443106,45.4713032907,distr,alimentare,,settore_merceologico,
190,magia 2,,,distr,non alimentare,,settore_merceologico,
191,,9.18474664084,45.4660081351,distr,Non Alimentare,,settore_merceologico,
192,,9.15815175062,45.4667642187,distr,Non Alimentare,,settore_merceologico,
193,,9.19510529984,45.4702332675,distr,non alimentare,,settore_merceologico,
194,frette,,,distr,non alimentare,,settore_merceologico,
195,,9.18771545611,45.4731724054,distr,non alimentare,,settore_merceologico,
196,finporte snc,9.23052657106,45.4878650809,distr,non alimentare,,settore_merceologico,
197,,9.18319821967,45.4571827211,distr,non alimentare,,settore_merceologico,
198,pd discount,9.21126973704,45.4857145896,distr,alimentare|non alimentare,,settore_merceologico,
199,edil piave srl,9.0943765727,45.462095444,distr,non alimentare,,settore_merceologico,
200,,9.2046209206,45.4510032289,distr,non alimentare,,settore_merceologico,
201,,9.17886130792,45.4408445491,distr,Alimentare|Non Alimentare,,settore_merceologico,
202,,9.1824185013,45.5010966572,distr,Alimentare|Non Alimentare,,settore_merceologico,
203,just cavalli,9.19651481995,45.4704997914,distr,non alimentare,,settore_merceologico,
204,,,,distr,non alimentare,,settore_merceologico,
205,,9.19249545456,45.4790558808,distr,Non Alimentare,,settore_merceologico,
206,,9.18722243836,45.4627410547,distr,Non Alimentare,,settore_merceologico,
207,,9.18210764913,45.4714865088,distr,Non Alimentare,,settore_merceologico,
208,,9.18216342908,45.4796040495,distr,Alimentare|Non Alimentare,,settore_merceologico,
209,,9.18690403364,45.4749100676,distr,non alimentare,,settore_merceologico,
210,,9.18650926498,45.4627341212,distr,Non Alimentare,,settore_merceologico,
211,,9.19317335415,45.4702840701,distr,Non Alimentare,,settore_merceologico,
212,fondamentali,9.19132402711,45.4685867534,distr,non alimentare,,settore_merceologico,
213,,9.21196301483,45.4812031394,distr,non alimentare,,settore_merceologico,
214,,,,distr,non alimentare,,settore_merceologico,
215,,9.17527040541,45.4568850512,distr,Non Alimentare|Alimentare,,settore_merceologico,
216,,9.15198576525,45.4872473827,distr,non alimentare,,settore_merceologico,
217,,,,distr,non alimentare,,settore_merceologico,
218,,,,distr,non alimentare,,settore_merceologico,
219,,9.1794009864,45.4453420305,distr,non alimentare,,settore_merceologico,
220,,9.1975584084,45.4508105361,distr,non alimentare,,settore_merceologico,
221,,9.16005162905,45.4838222777,distr,non alimentare,,settore_merceologico,
222,,9.15208631332,45.4714934635,distr,non alimentare,,settore_merceologico,
223,,9.20764353466,45.4846069753,distr,non alimentare|tabella speciale monopolio,,settore_merceologico,
224,gabbai,9.20013126239,45.4812425308,distr,non alimentare,,settore_merceologico,
225,,9.1975584084,45.4508105361,distr,non alimentare,,settore_merceologico,
226,autosport milano,9.1718356609,45.4878517323,distr,non alimentare,,settore_merceologico,
227,bershka,,,distr,non alimentare,,settore_merceologico,
228,,9.19083870085,45.4657481683,distr,Non Alimentare,,settore_merceologico,
229,borghi,9.15870984856,45.4667243299,distr,non alimentare,,settore_merceologico,
230,concess.lancia saicar,9.14025591523,45.5002373071,distr,non alimentare,,settore_merceologico,
231,le copen,,,distr,non alimentare,,settore_merceologico,
232,,,,distr,Non Alimentare,,settore_merceologico,
233,,9.19713258636,45.4656162338,distr,Non Alimentare,,settore_merceologico,
234,,9.18650926498,45.4627341212,distr,Alimentare|Non Alimentare,,settore_merceologico,
235,,9.18175754648,45.4712484964,distr,Non Alimentare,,settore_merceologico,
236,,9.19153736956,45.4582158796,distr,non alimentare,,settore_merceologico,
237,punto sma,9.18173635775,45.4716204823,distr,alimentare|non alimentare,,settore_merceologico,
238,acquazzurra,,,distr,alimentare|non alimentare,,settore_merceologico,
239,,9.18600320658,45.4659922188,distr,Non Alimentare,,settore_merceologico,
240,,9.15051234993,45.493131372,distr,non alimentare,,settore_merceologico,
241,,9.19780798925,45.4649182569,distr,non alimentare,,settore_merceologico,
242,calzature abbigliamento,9.18564124441,45.4724559753,distr,Non Alimentare,,settore_merceologico,
243,,9.18246689818,45.4939223344,distr,non alimentare,,settore_merceologico,
244,,9.19922266177,45.4598836699,distr,non alimentare,,settore_merceologico,
245,,9.18979254842,45.4730413301,distr,Non Alimentare,,settore_merceologico,
246,conad,9.1737896876,45.5139184104,distr,alimentare|non alimentare,,settore_merceologico,
247,carrefour,,,distr,alimentare|non alimentare,,settore_merceologico,
